account_id,employee_code,job_title,is_bookable,created_at,updated_at
10,LNR-TH-001,Therapist,1,2026-03-13 10:00:00,2026-09-06 15:00:00
11,LNR-TH-002,Therapist,1,2026-03-18 16:00:00,2026-09-15 15:00:00
12,LNR-TH-003,Massage Specialist,1,2026-06-30 14:00:00,2026-08-26 15:00:00
13,LNR-TH-004,Therapist,1,2026-02-11 16:00:00,2026-09-15 15:00:00
14,LNR-TH-005,Massage Specialist,1,2026-03-18 09:00:00,2026-09-02 15:00:00
15,LNR-TH-006,Massage Specialist,1,2026-03-10 16:00:00,2026-09-01 15:00:00
16,LNR-TH-007,Facial Specialist,1,2026-04-08 16:00:00,2026-09-12 15:00:00
17,LNR-TH-008,Senior Therapist,1,2026-06-30 16:00:00,2026-09-07 15:00:00
18,LNR-TH-009,Facial Specialist,1,2026-05-09 10:00:00,2026-09-04 15:00:00
19,LNR-TH-010,Facial Specialist,1,2026-06-03 17:00:00,2026-09-12 15:00:00
20,LNR-TH-011,Therapist,1,2026-03-29 11:00:00,2026-09-12 15:00:00
21,LNR-TH-012,Senior Therapist,1,2026-01-12 12:00:00,2026-09-11 15:00:00
22,LNR-TH-013,Senior Therapist,1,2026-02-03 16:00:00,2026-09-10 15:00:00
23,LNR-TH-014,Senior Therapist,1,2026-03-04 11:00:00,2026-08-28 15:00:00
24,LNR-TH-015,Therapist,1,2026-02-02 11:00:00,2026-09-12 15:00:00
25,LNR-TH-016,Massage Specialist,0,2026-07-23 09:00:00,2026-09-02 15:00:00
