staff_account_id,service_id
10,1
10,2
10,3
10,4
10,5
10,6
10,7
10,8
10,9
10,10
10,11
10,12
11,1
11,2
11,3
11,4
11,5
11,6
11,7
11,8
11,9
11,10
11,11
12,1
12,2
12,3
12,4
12,5
12,6
12,7
12,8
12,9
12,10
12,11
13,1
13,3
13,4
13,5
13,6
13,8
13,9
13,11
14,1
14,2
14,3
14,4
14,5
14,6
14,8
14,10
15,2
15,3
15,5
15,9
15,10
15,11
16,1
16,2
16,3
16,4
16,5
16,6
16,7
16,8
16,9
16,10
16,11
17,2
17,3
17,4
17,5
17,6
17,8
17,10
17,11
18,1
18,5
18,8
18,9
18,10
19,2
19,3
19,5
19,6
19,7
19,8
19,10
20,1
20,2
20,3
20,4
20,5
20,6
20,7
20,8
20,10
20,11
21,1
21,2
21,4
21,5
21,6
21,7
21,8
21,9
21,10
21,11
22,1
22,2
22,3
22,4
22,9
22,10
22,11
23,1
23,3
23,4
23,7
23,8
23,10
23,11
24,1
24,3
24,5
24,7
24,8
24,9
24,10
