id,staff_account_id,start_at,end_at,reason,created_at
1,22,2026-09-21 09:00:00,2026-09-21 18:00:00,Khám sức khỏe,2026-09-08 09:00:00
2,11,2026-07-27 09:00:00,2026-07-27 18:00:00,Đào tạo nội bộ,2026-07-22 09:00:00
3,22,2026-10-09 09:00:00,2026-10-09 18:00:00,Nghỉ phép cá nhân,2026-10-03 09:00:00
4,19,2026-08-04 09:00:00,2026-08-04 18:00:00,Đào tạo nội bộ,2026-07-17 09:00:00
5,20,2026-08-17 09:00:00,2026-08-17 18:00:00,Nghỉ bù,2026-08-03 09:00:00
6,16,2026-09-19 09:00:00,2026-09-19 18:00:00,Khám sức khỏe,2026-09-10 09:00:00
7,13,2026-10-19 09:00:00,2026-10-19 18:00:00,Nghỉ phép cá nhân,2026-09-29 09:00:00
8,17,2026-09-02 09:00:00,2026-09-02 18:00:00,Đào tạo nội bộ,2026-08-13 09:00:00
9,14,2026-07-23 09:00:00,2026-07-23 18:00:00,Đào tạo nội bộ,2026-07-18 09:00:00
10,11,2026-07-11 09:00:00,2026-07-11 18:00:00,Nghỉ bù,2026-06-30 09:00:00
11,14,2026-08-06 09:00:00,2026-08-06 18:00:00,Đào tạo nội bộ,2026-07-23 09:00:00
12,22,2026-07-27 09:00:00,2026-07-27 18:00:00,Nghỉ phép cá nhân,2026-07-11 09:00:00
13,18,2026-09-21 09:00:00,2026-09-21 18:00:00,Đào tạo nội bộ,2026-09-11 09:00:00
14,13,2026-09-17 09:00:00,2026-09-17 18:00:00,Nghỉ bù,2026-09-09 09:00:00
15,13,2026-10-14 09:00:00,2026-10-14 18:00:00,Khám sức khỏe,2026-10-02 09:00:00
16,24,2026-10-09 09:00:00,2026-10-09 18:00:00,Nghỉ phép cá nhân,2026-09-25 09:00:00
17,12,2026-10-26 09:00:00,2026-10-26 18:00:00,Khám sức khỏe,2026-10-23 09:00:00
18,16,2026-09-30 09:00:00,2026-09-30 18:00:00,Đào tạo nội bộ,2026-09-14 09:00:00
19,23,2026-10-27 09:00:00,2026-10-27 18:00:00,Đào tạo nội bộ,2026-10-08 09:00:00
20,19,2026-08-05 09:00:00,2026-08-05 18:00:00,Nghỉ phép cá nhân,2026-07-23 09:00:00
21,17,2026-10-14 09:00:00,2026-10-14 18:00:00,Nghỉ phép cá nhân,2026-10-05 09:00:00
22,21,2026-07-28 09:00:00,2026-07-28 18:00:00,Nghỉ phép cá nhân,2026-07-14 09:00:00
23,12,2026-09-11 09:00:00,2026-09-11 18:00:00,Đào tạo nội bộ,2026-08-27 09:00:00
24,11,2026-09-11 09:00:00,2026-09-11 18:00:00,Đào tạo nội bộ,2026-08-26 09:00:00
25,24,2026-07-01 09:00:00,2026-07-01 18:00:00,Khám sức khỏe,2026-06-27 09:00:00
26,21,2026-07-31 09:00:00,2026-07-31 18:00:00,Đào tạo nội bộ,2026-07-15 09:00:00
27,19,2026-10-05 09:00:00,2026-10-05 18:00:00,Đào tạo nội bộ,2026-09-21 09:00:00
28,24,2026-07-18 09:00:00,2026-07-18 18:00:00,Đào tạo nội bộ,2026-07-07 09:00:00
