id,booking_id,old_status_id,new_status_id,changed_by,note,changed_at
1,1,\N,1,35,Khách hàng tạo booking,2026-07-04 02:00:00
2,1,1,2,2,Booking được xác nhận,2026-07-04 02:05:00
3,1,2,3,5,Staff bắt đầu thực hiện dịch vụ,2026-07-08 11:00:00
4,1,3,4,5,Dịch vụ đã hoàn thành,2026-07-08 11:45:00
5,2,\N,1,90,Khách hàng tạo booking,2026-07-12 04:00:00
6,2,1,2,\N,Booking được xác nhận,2026-07-12 04:05:00
7,2,2,3,9,Staff bắt đầu thực hiện dịch vụ,2026-07-17 09:00:00
8,2,3,4,9,Dịch vụ đã hoàn thành,2026-07-17 10:00:00
9,3,\N,1,47,Khách hàng tạo booking,2026-08-30 00:00:00
10,3,1,2,\N,Booking được xác nhận,2026-08-30 00:05:00
11,3,2,3,5,Staff bắt đầu thực hiện dịch vụ,2026-09-09 09:00:00
12,3,3,4,5,Dịch vụ đã hoàn thành,2026-09-09 09:45:00
13,4,\N,1,107,Khách hàng tạo booking,2026-09-16 00:00:00
14,5,\N,1,49,Khách hàng tạo booking,2026-09-19 13:30:00
15,5,1,2,\N,Booking được xác nhận,2026-09-19 13:35:00
16,5,2,5,49,Khách hàng hủy lịch,2026-09-20 13:30:00
17,6,\N,1,25,Khách hàng tạo booking,2026-06-06 06:00:00
18,6,1,2,\N,Booking được xác nhận,2026-06-06 06:05:00
19,6,2,3,9,Staff bắt đầu thực hiện dịch vụ,2026-07-06 09:00:00
20,6,3,4,9,Dịch vụ đã hoàn thành,2026-07-06 10:30:00
21,7,\N,1,38,Khách hàng tạo booking,2026-09-05 08:00:00
22,7,1,2,2,Booking được xác nhận,2026-09-05 08:05:00
23,8,\N,1,19,Khách hàng tạo booking,2026-10-13 04:30:00
24,8,1,2,\N,Booking được xác nhận,2026-10-13 04:35:00
25,9,\N,1,60,Khách hàng tạo booking,2026-09-11 08:30:00
26,10,\N,1,31,Khách hàng tạo booking,2026-08-04 06:00:00
27,10,1,6,1,Không còn nhân viên phù hợp trong khung giờ,2026-08-04 06:20:00
28,11,\N,1,68,Khách hàng tạo booking,2026-07-23 04:30:00
29,11,1,2,\N,Booking được xác nhận,2026-07-23 04:35:00
30,11,2,3,14,Staff bắt đầu thực hiện dịch vụ,2026-08-18 13:30:00
31,11,3,4,14,Dịch vụ đã hoàn thành,2026-08-18 14:15:00
32,12,\N,1,99,Khách hàng tạo booking,2026-07-21 13:30:00
33,12,1,2,\N,Booking được xác nhận,2026-07-21 13:35:00
34,12,2,3,11,Staff bắt đầu thực hiện dịch vụ,2026-07-22 13:30:00
35,12,3,4,11,Dịch vụ đã hoàn thành,2026-07-22 14:15:00
36,13,\N,1,76,Khách hàng tạo booking,2026-08-28 02:00:00
37,13,1,2,3,Booking được xác nhận,2026-08-28 02:05:00
38,13,2,3,8,Staff bắt đầu thực hiện dịch vụ,2026-09-14 09:00:00
39,14,\N,1,87,Khách hàng tạo booking,2026-08-17 08:00:00
40,14,1,2,\N,Booking được xác nhận,2026-08-17 08:05:00
41,14,2,3,8,Staff bắt đầu thực hiện dịch vụ,2026-08-26 11:00:00
42,14,3,4,8,Dịch vụ đã hoàn thành,2026-08-26 11:45:00
43,15,\N,1,51,Khách hàng tạo booking,2026-09-10 09:00:00
44,16,\N,1,43,Khách hàng tạo booking,2026-09-30 09:30:00
45,16,1,2,1,Booking được xác nhận,2026-09-30 09:35:00
46,17,\N,1,19,Khách hàng tạo booking,2026-09-14 05:00:00
47,17,1,2,\N,Booking được xác nhận,2026-09-14 05:05:00
48,17,2,5,19,Khách hàng hủy lịch,2026-09-15 05:00:00
49,18,\N,1,43,Khách hàng tạo booking,2026-08-09 04:00:00
50,18,1,2,\N,Booking được xác nhận,2026-08-09 04:05:00
51,18,2,3,11,Staff bắt đầu thực hiện dịch vụ,2026-08-14 11:00:00
52,18,3,4,11,Dịch vụ đã hoàn thành,2026-08-14 12:15:00
53,19,\N,1,30,Khách hàng tạo booking,2026-09-02 05:30:00
54,20,\N,1,29,Khách hàng tạo booking,2026-08-22 00:00:00
55,21,\N,1,31,Khách hàng tạo booking,2026-06-16 12:30:00
56,21,1,2,\N,Booking được xác nhận,2026-06-16 12:35:00
57,21,2,3,7,Staff bắt đầu thực hiện dịch vụ,2026-07-14 15:30:00
58,21,3,4,7,Dịch vụ đã hoàn thành,2026-07-14 16:30:00
59,22,\N,1,51,Khách hàng tạo booking,2026-09-01 05:30:00
60,22,1,2,3,Booking được xác nhận,2026-09-01 05:35:00
61,22,2,3,15,Staff bắt đầu thực hiện dịch vụ,2026-09-02 13:30:00
62,22,3,4,15,Dịch vụ đã hoàn thành,2026-09-02 14:45:00
63,23,\N,1,26,Khách hàng tạo booking,2026-09-03 02:00:00
64,23,1,2,\N,Booking được xác nhận,2026-09-03 02:05:00
65,23,2,5,26,Khách hàng hủy lịch,2026-09-04 02:00:00
66,24,\N,1,76,Khách hàng tạo booking,2026-08-11 03:00:00
67,24,1,2,\N,Booking được xác nhận,2026-08-11 03:05:00
