id,customer_id,package_id,staff_id,status_id,booking_start,booking_end,customer_note,assignment_type,assigned_by_manager_id,created_at,updated_at
1,35,4,5,4,2026-07-08 11:00:00,2026-07-08 11:45:00,Khách muốn phòng yên tĩnh,MANUAL,2,2026-07-04 02:00:00,2026-07-08 13:00:00
2,90,1,9,4,2026-07-17 09:00:00,2026-07-17 10:00:00,\N,CUSTOMER,\N,2026-07-12 04:00:00,2026-07-17 11:00:00
3,47,6,5,4,2026-09-09 09:00:00,2026-09-09 09:45:00,Khách muốn phòng yên tĩnh,AUTO,\N,2026-08-30 00:00:00,2026-09-09 11:00:00
4,107,6,\N,1,2026-09-23 10:00:00,2026-09-23 10:45:00,Khách lần đầu sử dụng dịch vụ,\N,\N,2026-09-16 00:00:00,2026-09-16 02:00:00
5,49,9,11,5,2026-10-07 13:30:00,2026-10-07 15:30:00,\N,CUSTOMER,\N,2026-09-19 13:30:00,2026-09-19 15:30:00
6,25,3,9,4,2026-07-06 09:00:00,2026-07-06 10:30:00,Khách muốn phòng yên tĩnh,AUTO,\N,2026-06-06 06:00:00,2026-07-06 11:00:00
7,38,7,15,2,2026-10-02 11:00:00,2026-10-02 12:00:00,Khách muốn phòng yên tĩnh,MANUAL,2,2026-09-05 08:00:00,2026-09-05 10:00:00
8,19,4,4,2,2026-10-17 13:30:00,2026-10-17 14:15:00,Da nhạy cảm,CUSTOMER,\N,2026-10-13 04:30:00,2026-10-13 06:30:00
9,60,6,6,1,2026-10-01 13:30:00,2026-10-01 14:15:00,Khách lần đầu sử dụng dịch vụ,AUTO,\N,2026-09-11 08:30:00,2026-09-11 10:30:00
10,31,5,\N,6,2026-08-21 10:00:00,2026-08-21 11:30:00,Khách lần đầu sử dụng dịch vụ,\N,\N,2026-08-04 06:00:00,2026-08-04 08:00:00
11,68,6,14,4,2026-08-18 13:30:00,2026-08-18 14:15:00,Đến sớm 10 phút,CUSTOMER,\N,2026-07-23 04:30:00,2026-08-18 15:30:00
12,99,6,11,4,2026-07-22 13:30:00,2026-07-22 14:15:00,Khách muốn phòng yên tĩnh,AUTO,\N,2026-07-21 13:30:00,2026-07-22 15:30:00
13,76,2,8,3,2026-09-14 09:00:00,2026-09-14 09:45:00,\N,MANUAL,3,2026-08-28 02:00:00,2026-09-14 11:00:00
14,87,4,8,4,2026-08-26 11:00:00,2026-08-26 11:45:00,Khách lần đầu sử dụng dịch vụ,CUSTOMER,\N,2026-08-17 08:00:00,2026-08-26 13:00:00
15,51,9,6,1,2026-10-03 11:00:00,2026-10-03 13:00:00,Khách lần đầu sử dụng dịch vụ,AUTO,\N,2026-09-10 09:00:00,2026-09-10 11:00:00
16,43,2,13,2,2026-10-09 15:30:00,2026-10-09 16:15:00,Da nhạy cảm,MANUAL,1,2026-09-30 09:30:00,2026-09-30 11:30:00
17,19,7,15,5,2026-09-23 11:00:00,2026-09-23 12:00:00,Ưu tiên nhân viên nữ,CUSTOMER,\N,2026-09-14 05:00:00,2026-09-14 07:00:00
18,43,8,11,4,2026-08-14 11:00:00,2026-08-14 12:15:00,Khách lần đầu sử dụng dịch vụ,AUTO,\N,2026-08-09 04:00:00,2026-08-14 13:00:00
19,30,4,4,1,2026-09-25 15:30:00,2026-09-25 16:15:00,Khách muốn phòng yên tĩnh,MANUAL,3,2026-09-02 05:30:00,2026-09-02 07:30:00
20,29,5,\N,1,2026-09-19 10:00:00,2026-09-19 11:30:00,Đến sớm 10 phút,\N,\N,2026-08-22 00:00:00,2026-08-22 02:00:00
21,31,1,7,4,2026-07-14 15:30:00,2026-07-14 16:30:00,\N,AUTO,\N,2026-06-16 12:30:00,2026-07-14 17:30:00
22,51,8,15,4,2026-09-02 13:30:00,2026-09-02 14:45:00,Khách muốn phòng yên tĩnh,MANUAL,3,2026-09-01 05:30:00,2026-09-02 15:30:00
23,26,4,9,5,2026-09-25 11:00:00,2026-09-25 11:45:00,Ưu tiên nhân viên nữ,CUSTOMER,\N,2026-09-03 02:00:00,2026-09-03 04:00:00
24,76,9,8,4,2026-08-15 11:00:00,2026-08-15 13:00:00,Khách lần đầu sử dụng dịch vụ,AUTO,\N,2026-08-11 03:00:00,2026-08-15 13:00:00
25,39,4,13,4,2026-07-13 13:30:00,2026-07-13 14:15:00,Ưu tiên nhân viên nữ,MANUAL,1,2026-07-11 05:30:00,2026-07-13 15:30:00
26,105,3,\N,1,2026-10-01 10:00:00,2026-10-01 11:30:00,\N,\N,\N,2026-09-10 03:00:00,2026-09-10 05:00:00
27,17,5,5,2,2026-10-15 11:00:00,2026-10-15 12:30:00,Đến sớm 10 phút,AUTO,\N,2026-10-07 10:00:00,2026-10-07 12:00:00
28,113,7,10,4,2026-08-27 09:00:00,2026-08-27 10:00:00,Khách muốn phòng yên tĩnh,MANUAL,3,2026-08-24 07:00:00,2026-08-27 11:00:00
29,38,9,11,4,2026-08-28 15:30:00,2026-08-28 17:30:00,Khách muốn phòng yên tĩnh,CUSTOMER,\N,2026-07-29 11:30:00,2026-08-28 17:30:00
30,25,1,6,2,2026-10-13 15:30:00,2026-10-13 16:30:00,Da nhạy cảm,AUTO,\N,2026-10-07 06:30:00,2026-10-07 08:30:00
31,97,8,10,4,2026-08-11 15:30:00,2026-08-11 16:45:00,Ưu tiên nhân viên nữ,MANUAL,2,2026-08-08 10:30:00,2026-08-11 17:30:00
32,57,2,8,4,2026-08-22 09:00:00,2026-08-22 09:45:00,Ưu tiên nhân viên nữ,CUSTOMER,\N,2026-08-04 07:00:00,2026-08-22 11:00:00
33,72,8,10,4,2026-07-15 13:30:00,2026-07-15 14:45:00,Đến sớm 10 phút,AUTO,\N,2026-07-07 06:30:00,2026-07-15 15:30:00
34,34,7,10,4,2026-09-01 15:30:00,2026-09-01 16:30:00,Da nhạy cảm,MANUAL,3,2026-08-24 06:30:00,2026-09-01 17:30:00
35,45,7,15,4,2026-09-02 09:00:00,2026-09-02 10:00:00,Da nhạy cảm,CUSTOMER,\N,2026-08-09 07:00:00,2026-09-02 11:00:00
36,99,3,\N,1,2026-09-15 10:00:00,2026-09-15 11:30:00,Ưu tiên nhân viên nữ,\N,\N,2026-09-12 03:00:00,2026-09-12 05:00:00
37,59,7,14,1,2026-10-19 11:00:00,2026-10-19 12:00:00,Khách lần đầu sử dụng dịch vụ,MANUAL,1,2026-09-24 01:00:00,2026-09-24 03:00:00
38,28,8,\N,6,2026-08-15 10:00:00,2026-08-15 11:15:00,\N,\N,\N,2026-08-09 06:00:00,2026-08-09 08:00:00
39,21,6,10,4,2026-07-11 11:00:00,2026-07-11 11:45:00,\N,AUTO,\N,2026-07-02 01:00:00,2026-07-11 13:00:00
40,75,5,6,5,2026-09-28 11:00:00,2026-09-28 12:30:00,Khách lần đầu sử dụng dịch vụ,MANUAL,3,2026-09-18 11:00:00,2026-09-18 13:00:00
41,66,5,4,2,2026-10-07 09:00:00,2026-10-07 10:30:00,\N,CUSTOMER,\N,2026-09-11 02:00:00,2026-09-11 04:00:00
42,90,6,11,5,2026-08-26 11:00:00,2026-08-26 11:45:00,\N,AUTO,\N,2026-08-02 06:00:00,2026-08-02 08:00:00
43,75,2,12,5,2026-08-20 15:30:00,2026-08-20 16:15:00,Khách lần đầu sử dụng dịch vụ,MANUAL,3,2026-08-08 14:30:00,2026-08-08 16:30:00
44,45,8,7,5,2026-09-25 13:30:00,2026-09-25 14:45:00,Khách muốn phòng yên tĩnh,CUSTOMER,\N,2026-09-17 05:30:00,2026-09-17 07:30:00
45,65,8,6,2,2026-10-02 11:00:00,2026-10-02 12:15:00,Ưu tiên nhân viên nữ,AUTO,\N,2026-09-14 01:00:00,2026-09-14 03:00:00
46,23,7,11,4,2026-07-03 09:00:00,2026-07-03 10:00:00,Đến sớm 10 phút,MANUAL,1,2026-06-22 07:00:00,2026-07-03 11:00:00
47,16,5,4,4,2026-07-17 13:30:00,2026-07-17 15:00:00,Khách lần đầu sử dụng dịch vụ,CUSTOMER,\N,2026-06-30 12:30:00,2026-07-17 15:30:00
48,24,8,11,4,2026-07-06 09:00:00,2026-07-06 10:15:00,Da nhạy cảm,AUTO,\N,2026-06-14 08:00:00,2026-07-06 11:00:00
49,107,8,6,2,2026-09-19 13:30:00,2026-09-19 14:45:00,Khách lần đầu sử dụng dịch vụ,MANUAL,3,2026-09-15 03:30:00,2026-09-15 05:30:00
50,114,9,6,4,2026-08-22 13:30:00,2026-08-22 15:30:00,Khách lần đầu sử dụng dịch vụ,CUSTOMER,\N,2026-08-10 11:30:00,2026-08-22 15:30:00
51,76,2,12,5,2026-10-01 13:30:00,2026-10-01 14:15:00,Da nhạy cảm,AUTO,\N,2026-09-19 03:30:00,2026-09-19 05:30:00
52,108,1,10,4,2026-07-29 13:30:00,2026-07-29 14:30:00,Ưu tiên nhân viên nữ,MANUAL,3,2026-07-04 09:30:00,2026-07-29 15:30:00
53,60,1,7,5,2026-09-08 11:00:00,2026-09-08 12:00:00,Khách lần đầu sử dụng dịch vụ,CUSTOMER,\N,2026-08-30 04:00:00,2026-08-30 06:00:00
