id,booking_id,rating_id,comment,created_at,updated_at
1,1,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-07-08 12:05:00,2026-07-08 12:05:00
2,2,3,Dịch vụ ở mức bình thường.,2026-07-17 10:20:00,2026-07-17 10:20:00
3,3,5,"Rất hài lòng, sẽ quay lại.",2026-09-09 10:05:00,2026-09-09 10:05:00
4,6,4,"Nhân viên nhiệt tình, dịch vụ tốt.",2026-07-06 10:50:00,2026-07-06 10:50:00
5,11,5,"Rất hài lòng, sẽ quay lại.",2026-08-18 14:35:00,2026-08-18 14:35:00
6,12,5,\N,2026-07-22 14:35:00,2026-07-22 14:35:00
7,14,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-08-26 12:05:00,2026-08-26 12:05:00
8,21,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-07-14 16:50:00,2026-07-14 16:50:00
9,22,5,"Rất hài lòng, sẽ quay lại.",2026-09-02 15:05:00,2026-09-02 15:05:00
10,24,5,"Rất hài lòng, sẽ quay lại.",2026-08-15 13:20:00,2026-08-15 13:20:00
11,25,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-07-13 14:35:00,2026-07-13 14:35:00
12,31,5,\N,2026-08-11 17:05:00,2026-08-11 17:05:00
13,32,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-08-22 10:05:00,2026-08-22 10:05:00
14,33,4,Khá hài lòng.,2026-07-15 15:05:00,2026-07-15 15:05:00
15,34,4,"Nhân viên nhiệt tình, dịch vụ tốt.",2026-09-01 16:50:00,2026-09-01 16:50:00
16,35,4,Khá hài lòng.,2026-09-02 10:20:00,2026-09-02 10:20:00
17,46,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-07-03 10:20:00,2026-07-03 10:20:00
18,50,3,\N,2026-08-22 15:50:00,2026-08-22 15:50:00
19,52,4,"Nhân viên nhiệt tình, dịch vụ tốt.",2026-07-29 14:50:00,2026-07-29 14:50:00
20,61,4,Khá hài lòng.,2026-07-14 16:35:00,2026-07-14 16:35:00
21,62,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-07-13 14:35:00,2026-07-13 14:35:00
22,70,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-07-24 17:20:00,2026-07-24 17:20:00
23,72,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-08-06 15:50:00,2026-08-06 15:50:00
24,76,5,\N,2026-08-01 10:50:00,2026-08-01 10:50:00
25,80,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-07-06 12:05:00,2026-07-06 12:05:00
26,81,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-07-08 17:20:00,2026-07-08 17:20:00
27,85,5,"Rất hài lòng, sẽ quay lại.",2026-08-15 14:35:00,2026-08-15 14:35:00
28,86,4,Khá hài lòng.,2026-09-09 16:50:00,2026-09-09 16:50:00
29,90,3,Dịch vụ ở mức bình thường.,2026-07-18 12:05:00,2026-07-18 12:05:00
30,91,5,\N,2026-08-05 16:35:00,2026-08-05 16:35:00
31,93,4,Khá hài lòng.,2026-08-12 17:20:00,2026-08-12 17:20:00
32,94,4,Khá hài lòng.,2026-07-23 15:20:00,2026-07-23 15:20:00
33,101,4,"Nhân viên nhiệt tình, dịch vụ tốt.",2026-09-08 16:35:00,2026-09-08 16:35:00
34,102,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-07-16 10:20:00,2026-07-16 10:20:00
35,104,4,"Nhân viên nhiệt tình, dịch vụ tốt.",2026-07-30 14:50:00,2026-07-30 14:50:00
36,105,4,\N,2026-08-08 10:20:00,2026-08-08 10:20:00
37,110,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-07-01 11:20:00,2026-07-01 11:20:00
38,111,3,Dịch vụ ở mức bình thường.,2026-07-02 10:35:00,2026-07-02 10:35:00
39,113,4,Khá hài lòng.,2026-07-30 10:20:00,2026-07-30 10:20:00
40,114,4,Khá hài lòng.,2026-07-31 10:50:00,2026-07-31 10:50:00
41,115,3,Dịch vụ ở mức bình thường.,2026-08-04 16:35:00,2026-08-04 16:35:00
42,120,4,\N,2026-09-09 17:20:00,2026-09-09 17:20:00
43,121,3,Dịch vụ ở mức bình thường.,2026-08-21 10:50:00,2026-08-21 10:50:00
44,122,5,"Rất hài lòng, sẽ quay lại.",2026-08-03 16:50:00,2026-08-03 16:50:00
45,123,4,"Nhân viên nhiệt tình, dịch vụ tốt.",2026-08-28 10:20:00,2026-08-28 10:20:00
46,125,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-08-27 12:50:00,2026-08-27 12:50:00
47,131,3,Dịch vụ ở mức bình thường.,2026-08-07 11:20:00,2026-08-07 11:20:00
48,134,3,\N,2026-07-28 16:35:00,2026-07-28 16:35:00
49,136,3,Tạm ổn.,2026-07-13 17:20:00,2026-07-13 17:20:00
50,140,5,"Rất hài lòng, sẽ quay lại.",2026-08-19 16:35:00,2026-08-19 16:35:00
51,141,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-08-05 14:50:00,2026-08-05 14:50:00
52,142,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-07-16 14:35:00,2026-07-16 14:35:00
53,144,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-08-01 10:50:00,2026-08-01 10:50:00
54,150,4,\N,2026-08-03 10:05:00,2026-08-03 10:05:00
55,152,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-08-24 16:50:00,2026-08-24 16:50:00
56,155,4,"Nhân viên nhiệt tình, dịch vụ tốt.",2026-08-01 13:20:00,2026-08-01 13:20:00
57,160,2,Trải nghiệm chưa tốt.,2026-07-29 12:20:00,2026-07-29 12:20:00
58,165,4,"Nhân viên nhiệt tình, dịch vụ tốt.",2026-09-08 17:20:00,2026-09-08 17:20:00
59,170,4,Khá hài lòng.,2026-09-03 17:50:00,2026-09-03 17:50:00
60,171,5,\N,2026-08-19 12:05:00,2026-08-19 12:05:00
61,173,5,"Dịch vụ xuất sắc, nhân viên chu đáo.",2026-08-14 10:05:00,2026-08-14 10:05:00
