id,user_id,provider_id,provider_user_id,created_at
1,16,1,google-production-16,2026-05-17 12:00:00
2,17,2,facebook-production-17,2026-05-18 12:00:00
3,18,1,google-production-18,2026-05-19 12:00:00
4,19,2,facebook-production-19,2026-05-20 12:00:00
5,20,1,google-production-20,2026-05-21 12:00:00
6,21,2,facebook-production-21,2026-05-22 12:00:00
7,22,1,google-production-22,2026-05-23 12:00:00
8,23,2,facebook-production-23,2026-05-24 12:00:00
9,24,1,google-production-24,2026-05-25 12:00:00
10,25,2,facebook-production-25,2026-05-26 12:00:00
11,26,1,google-production-26,2026-05-27 12:00:00
12,27,2,facebook-production-27,2026-05-28 12:00:00
13,28,1,google-production-28,2026-05-29 12:00:00
14,29,2,facebook-production-29,2026-05-30 12:00:00
15,30,1,google-production-30,2026-05-31 12:00:00
16,31,2,facebook-production-31,2026-06-01 12:00:00
17,32,1,google-production-32,2026-06-02 12:00:00
18,33,2,facebook-production-33,2026-06-03 12:00:00
19,34,1,google-production-34,2026-06-04 12:00:00
20,35,2,facebook-production-35,2026-06-05 12:00:00
21,16,2,facebook-production-16,2026-09-04 12:00:00
