id,booking_id,status_id,assigned_by_manager_id,accepted_at,started_at,completed_at,staff_note,created_at,updated_at
1,1,4,2,2026-07-08 10:45:00,2026-07-08 11:00:00,2026-07-08 11:45:00,\N,2026-07-04 02:05:00,2026-07-08 11:45:00
2,2,4,\N,2026-07-17 08:45:00,2026-07-17 09:00:00,2026-07-17 10:00:00,\N,2026-07-12 04:05:00,2026-07-17 10:00:00
3,3,4,\N,2026-09-09 08:45:00,2026-09-09 09:00:00,2026-09-09 09:45:00,\N,2026-08-30 00:05:00,2026-09-09 09:45:00
4,5,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-09-19 13:35:00,2026-09-19 13:35:00
5,6,4,\N,2026-07-06 08:45:00,2026-07-06 09:00:00,2026-07-06 10:30:00,\N,2026-06-06 06:05:00,2026-07-06 10:30:00
6,7,2,2,2026-10-02 10:45:00,\N,\N,\N,2026-09-05 08:05:00,2026-10-02 10:45:00
7,8,1,\N,\N,\N,\N,\N,2026-10-13 04:35:00,2026-10-13 04:35:00
8,9,1,\N,\N,\N,\N,\N,2026-09-11 08:35:00,2026-09-11 08:35:00
9,11,4,\N,2026-08-18 13:15:00,2026-08-18 13:30:00,2026-08-18 14:15:00,\N,2026-07-23 04:35:00,2026-08-18 14:15:00
10,12,4,\N,2026-07-22 13:15:00,2026-07-22 13:30:00,2026-07-22 14:15:00,\N,2026-07-21 13:35:00,2026-07-22 14:15:00
11,13,3,3,2026-09-14 08:45:00,2026-09-14 09:00:00,\N,\N,2026-08-28 02:05:00,2026-09-14 09:00:00
12,14,4,\N,2026-08-26 10:45:00,2026-08-26 11:00:00,2026-08-26 11:45:00,\N,2026-08-17 08:05:00,2026-08-26 11:45:00
13,15,1,\N,\N,\N,\N,\N,2026-09-10 09:05:00,2026-09-10 09:05:00
14,16,1,1,\N,\N,\N,\N,2026-09-30 09:35:00,2026-09-30 09:35:00
15,17,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-09-14 05:05:00,2026-09-14 05:05:00
16,18,4,\N,2026-08-14 10:45:00,2026-08-14 11:00:00,2026-08-14 12:15:00,\N,2026-08-09 04:05:00,2026-08-14 12:15:00
17,19,1,3,\N,\N,\N,\N,2026-09-02 05:35:00,2026-09-02 05:35:00
18,21,4,\N,2026-07-14 15:15:00,2026-07-14 15:30:00,2026-07-14 16:30:00,\N,2026-06-16 12:35:00,2026-07-14 16:30:00
19,22,4,3,2026-09-02 13:15:00,2026-09-02 13:30:00,2026-09-02 14:45:00,\N,2026-09-01 05:35:00,2026-09-02 14:45:00
20,23,5,\N,\N,\N,\N,Task dừng do booking bị hủy/từ chối,2026-09-03 02:05:00,2026-09-03 02:05:00
21,24,4,\N,2026-08-15 10:45:00,2026-08-15 11:00:00,2026-08-15 13:00:00,\N,2026-08-11 03:05:00,2026-08-15 13:00:00
22,25,4,1,2026-07-13 13:15:00,2026-07-13 13:30:00,2026-07-13 14:15:00,\N,2026-07-11 05:35:00,2026-07-13 14:15:00
23,27,2,\N,2026-10-15 10:45:00,\N,\N,\N,2026-10-07 10:05:00,2026-10-15 10:45:00
