id,staff_id,start_at,end_at,reason,created_at
1,4,2026-09-04 13:00:00,2026-09-04 18:00:00,Nghỉ phép cá nhân,2026-08-28 13:00:00
2,5,2026-09-07 09:00:00,2026-09-07 18:00:00,Khám sức khỏe,2026-08-31 09:00:00
3,6,2026-09-10 09:00:00,2026-09-10 18:00:00,Đào tạo nội bộ,2026-09-03 09:00:00
4,7,2026-09-14 09:00:00,2026-09-14 18:00:00,Bận việc gia đình,2026-09-07 09:00:00
5,8,2026-09-16 13:00:00,2026-09-16 18:00:00,Nghỉ nửa ngày,2026-09-09 13:00:00
6,9,2026-09-19 09:00:00,2026-09-19 18:00:00,Nghỉ phép cá nhân,2026-09-12 09:00:00
7,10,2026-09-22 09:00:00,2026-09-22 18:00:00,Khám sức khỏe,2026-09-15 09:00:00
8,11,2026-09-25 09:00:00,2026-09-25 18:00:00,Đào tạo nội bộ,2026-09-18 09:00:00
9,12,2026-09-28 13:00:00,2026-09-28 18:00:00,Bận việc gia đình,2026-09-21 13:00:00
10,13,2026-10-01 09:00:00,2026-10-01 18:00:00,Nghỉ nửa ngày,2026-09-24 09:00:00
11,14,2026-10-05 09:00:00,2026-10-05 18:00:00,Nghỉ phép cá nhân,2026-09-28 09:00:00
12,15,2026-10-07 09:00:00,2026-10-07 18:00:00,Khám sức khỏe,2026-09-30 09:00:00
13,4,2026-10-10 13:00:00,2026-10-10 18:00:00,Đào tạo nội bộ,2026-10-03 13:00:00
14,5,2026-10-13 09:00:00,2026-10-13 18:00:00,Bận việc gia đình,2026-10-06 09:00:00
15,6,2026-10-16 09:00:00,2026-10-16 18:00:00,Nghỉ nửa ngày,2026-10-09 09:00:00
16,7,2026-10-19 09:00:00,2026-10-19 18:00:00,Nghỉ phép cá nhân,2026-10-12 09:00:00
17,8,2026-10-22 13:00:00,2026-10-22 18:00:00,Khám sức khỏe,2026-10-15 13:00:00
18,9,2026-10-26 09:00:00,2026-10-26 18:00:00,Đào tạo nội bộ,2026-10-19 09:00:00
