id,staff_id,day_of_week,start_time,end_time,is_working
1,4,1,09:00:00,18:00:00,1
2,4,2,09:00:00,18:00:00,1
3,4,3,09:00:00,18:00:00,1
4,4,4,09:00:00,18:00:00,1
5,4,5,09:00:00,18:00:00,1
6,4,6,09:00:00,16:00:00,1
7,4,7,09:00:00,17:00:00,0
8,5,1,09:00:00,18:00:00,1
9,5,2,09:00:00,18:00:00,1
10,5,3,09:00:00,18:00:00,1
11,5,4,09:00:00,18:00:00,1
12,5,5,09:00:00,18:00:00,1
13,5,6,09:00:00,16:00:00,0
14,5,7,09:00:00,17:00:00,0
15,6,1,09:00:00,18:00:00,1
16,6,2,09:00:00,18:00:00,1
17,6,3,09:00:00,18:00:00,1
18,6,4,09:00:00,18:00:00,1
19,6,5,09:00:00,18:00:00,1
20,6,6,09:00:00,16:00:00,1
21,6,7,09:00:00,17:00:00,0
22,7,1,09:00:00,18:00:00,1
23,7,2,09:00:00,18:00:00,1
24,7,3,09:00:00,18:00:00,1
25,7,4,09:00:00,18:00:00,1
26,7,5,09:00:00,18:00:00,1
27,7,6,09:00:00,16:00:00,0
28,7,7,09:00:00,17:00:00,0
29,8,1,09:00:00,18:00:00,1
30,8,2,09:00:00,18:00:00,1
31,8,3,09:00:00,18:00:00,1
32,8,4,09:00:00,18:00:00,1
33,8,5,09:00:00,18:00:00,1
34,8,6,09:00:00,16:00:00,1
35,8,7,09:00:00,17:00:00,0
36,9,1,09:00:00,18:00:00,1
37,9,2,09:00:00,18:00:00,1
38,9,3,09:00:00,18:00:00,1
39,9,4,09:00:00,18:00:00,1
40,9,5,09:00:00,18:00:00,1
41,9,6,09:00:00,16:00:00,0
42,9,7,09:00:00,17:00:00,0
43,10,1,09:00:00,18:00:00,1
44,10,2,09:00:00,18:00:00,1
45,10,3,09:00:00,18:00:00,1
46,10,4,09:00:00,18:00:00,1
47,10,5,09:00:00,18:00:00,1
48,10,6,09:00:00,16:00:00,1
49,10,7,09:00:00,17:00:00,0
50,11,1,09:00:00,18:00:00,1
51,11,2,09:00:00,18:00:00,1
52,11,3,09:00:00,18:00:00,1
53,11,4,09:00:00,18:00:00,1
54,11,5,09:00:00,18:00:00,1
55,11,6,09:00:00,16:00:00,0
56,11,7,09:00:00,17:00:00,0
57,12,1,09:00:00,18:00:00,1
58,12,2,09:00:00,18:00:00,1
59,12,3,09:00:00,18:00:00,1
60,12,4,09:00:00,18:00:00,1
61,12,5,09:00:00,18:00:00,1
62,12,6,09:00:00,16:00:00,1
63,12,7,09:00:00,17:00:00,0
64,13,1,09:00:00,18:00:00,1
65,13,2,09:00:00,18:00:00,1
66,13,3,09:00:00,18:00:00,1
67,13,4,09:00:00,18:00:00,1
68,13,5,09:00:00,18:00:00,1
69,13,6,09:00:00,16:00:00,0
70,13,7,09:00:00,17:00:00,0
71,14,1,09:00:00,18:00:00,1
72,14,2,09:00:00,18:00:00,1
73,14,3,09:00:00,18:00:00,1
74,14,4,09:00:00,18:00:00,1
75,14,5,09:00:00,18:00:00,1
76,14,6,09:00:00,16:00:00,1
77,14,7,09:00:00,17:00:00,0
78,15,1,09:00:00,18:00:00,1
79,15,2,09:00:00,18:00:00,1
80,15,3,09:00:00,18:00:00,1
81,15,4,09:00:00,18:00:00,1
82,15,5,09:00:00,18:00:00,1
83,15,6,09:00:00,16:00:00,0
84,15,7,09:00:00,17:00:00,0
