id,booking_id,service_id,service_name_snapshot,duration_minutes,base_price_snapshot,additional_duration_steps,price_per_step_snapshot,line_amount,created_at
1,1,1,Chăm sóc da mặt cơ bản,90,350000,1,120000,470000,2026-06-03 06:45:00
2,1,3,Cấp ẩm chuyên sâu da mặt,60,520000,0,150000,520000,2026-06-03 06:45:00
3,1,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-06-03 06:45:00
4,2,4,Massage thư giãn toàn thân,60,450000,0,180000,450000,2026-08-24 10:00:00
5,3,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-07-12 09:15:00
6,4,11,Phục hồi da cao cấp,90,850000,0,0,850000,2026-09-14 14:00:00
7,4,3,Cấp ẩm chuyên sâu da mặt,90,520000,1,150000,670000,2026-09-14 14:00:00
8,5,9,Ủ dưỡng và chăm sóc cơ thể,75,580000,0,0,580000,2026-09-15 04:00:00
9,6,1,Chăm sóc da mặt cơ bản,90,350000,1,120000,470000,2026-09-01 09:30:00
10,7,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-09-14 10:00:00
11,8,1,Chăm sóc da mặt cơ bản,90,350000,1,120000,470000,2026-06-02 07:30:00
12,9,4,Massage thư giãn toàn thân,90,450000,1,180000,630000,2026-09-14 19:00:00
13,10,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-09-14 18:00:00
14,11,7,"Trị liệu đầu, cổ và vai gáy",45,280000,0,0,280000,2026-09-14 14:00:00
15,12,1,Chăm sóc da mặt cơ bản,90,350000,1,120000,470000,2026-07-20 10:15:00
16,13,10,Chăm sóc và massage bàn chân,60,250000,1,80000,330000,2026-09-15 02:00:00
17,14,1,Chăm sóc da mặt cơ bản,120,350000,2,120000,590000,2026-09-01 05:00:00
18,15,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-06-14 12:30:00
19,16,5,Massage tinh dầu,60,520000,0,200000,520000,2026-05-25 10:30:00
20,17,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-06-19 11:15:00
21,18,6,Massage đá nóng,90,650000,0,0,650000,2026-05-20 09:30:00
22,18,2,Làm sạch sâu da mặt,75,480000,0,0,480000,2026-05-20 09:30:00
23,19,4,Massage thư giãn toàn thân,60,450000,0,180000,450000,2026-07-16 14:30:00
24,20,8,Tẩy tế bào chết toàn thân,60,420000,0,0,420000,2026-09-15 09:00:00
25,21,6,Massage đá nóng,90,650000,0,0,650000,2026-08-21 09:45:00
26,22,8,Tẩy tế bào chết toàn thân,60,420000,0,0,420000,2026-08-04 10:00:00
27,23,3,Cấp ẩm chuyên sâu da mặt,60,520000,0,150000,520000,2026-07-18 15:15:00
28,24,6,Massage đá nóng,90,650000,0,0,650000,2026-06-14 08:15:00
29,24,3,Cấp ẩm chuyên sâu da mặt,60,520000,0,150000,520000,2026-06-14 08:15:00
30,25,6,Massage đá nóng,90,650000,0,0,650000,2026-09-04 10:45:00
31,26,6,Massage đá nóng,90,650000,0,0,650000,2026-08-04 12:45:00
32,26,3,Cấp ẩm chuyên sâu da mặt,90,520000,1,150000,670000,2026-08-04 12:45:00
33,27,1,Chăm sóc da mặt cơ bản,90,350000,1,120000,470000,2026-06-09 10:15:00
34,27,3,Cấp ẩm chuyên sâu da mặt,90,520000,1,150000,670000,2026-06-09 10:15:00
