account_id,employee_code,job_title,is_bookable,created_at,updated_at
10,LNR-TH-001,Therapist,1,2026-07-23 09:00:00,2026-09-15 15:00:00
11,LNR-TH-002,Senior Therapist,1,2026-07-25 05:10:00,2026-08-19 05:10:00
12,LNR-TH-003,Facial Specialist,1,2025-10-19 05:58:00,2025-10-31 05:58:00
13,LNR-TH-004,Therapist,1,2026-04-02 14:59:00,2026-06-19 14:59:00
14,LNR-TH-005,Senior Therapist,1,2026-02-10 07:54:00,2026-03-09 07:54:00
15,LNR-TH-006,Massage Specialist,1,2026-08-13 05:10:00,2026-09-15 15:00:00
16,LNR-TH-007,Facial Specialist,1,2025-10-15 13:03:00,2025-10-28 13:03:00
17,LNR-TH-008,Senior Therapist,1,2025-12-06 07:22:00,2026-01-27 07:22:00
18,LNR-TH-009,Massage Specialist,1,2026-01-07 10:35:00,2026-02-28 10:35:00
19,LNR-TH-010,Therapist,1,2026-07-26 05:10:00,2026-09-15 15:00:00
20,LNR-TH-011,Facial Specialist,1,2026-06-24 13:35:00,2026-07-28 13:35:00
21,LNR-TH-012,Massage Specialist,1,2026-07-25 08:14:00,2026-08-05 08:14:00
22,LNR-TH-013,Therapist,1,2026-04-10 07:17:00,2026-05-08 07:17:00
23,LNR-TH-014,Senior Therapist,1,2026-07-31 05:10:00,2026-08-28 05:10:00
24,LNR-TH-015,Facial Specialist,1,2026-02-27 14:36:00,2026-05-13 14:36:00
25,LNR-TH-016,Therapist,0,2026-05-22 12:26:00,2026-07-03 12:26:00
