staff_account_id,service_id
10,1
10,4
10,6
10,9
11,1
11,2
11,4
11,7
11,10
12,1
12,2
12,3
12,6
12,11
13,2
13,4
13,7
13,8
14,1
14,3
14,4
14,6
14,10
15,4
15,5
15,6
15,7
15,9
15,10
16,1
16,2
16,3
16,7
16,11
17,1
17,2
17,6
17,7
17,10
18,4
18,5
18,6
18,7
18,8
18,9
19,2
19,4
19,5
19,8
20,1
20,2
20,3
20,6
20,11
21,4
21,5
21,6
21,7
21,8
21,9
22,1
22,4
22,5
22,10
23,1
23,2
23,4
23,6
23,10
24,1
24,2
24,3
24,5
24,11
25,2
25,5
25,7
25,10
